source,type,target,confidence,evidence
direct seed marketing,addresses,seed market access,extracted,designed to incentivize private and public seed producers to sell directly to farmers
maize,located_in,Uganda,extracted,field experiment with improved maize seed varieties in eastern Uganda
maize,located_in,Ethiopia,extracted,direct seed marketing led to increase in maize seed purchases
maize,located_in,Nigeria,extracted,"certified seeds for maize, cowpea, and rice"
chickpea,located_in,Lebanon,extracted,204 chickpea genotypes assessed across Lebanon
biofortification,produces,high kernel-zinc maize,extracted,High kernel‑zinc maize has potential to contribute to addressing zinc deficiency
biofortification,targets,Sub-Saharan Africa,extracted,particularly in Sub-Saharan Africa with high maize consumption
nitrogen fixation,related_to,chickpea,extracted,drought stress highly impacts symbiotic nitrogen fixation in chickpeas
CLEANED,addresses,environmental impact assessment,extracted,impact-assessment tool improves sustainable livestock enterprise planning
AgriLLM,targets,smallholder farmer,extracted,"provides accurate, context-specific agricultural advice to smallholder farmers"
AgriLLM,targets,extension agent,extracted,"provides advice to extension agents, policymakers, and researchers"
CGIAR,produces,AgriLLM,extracted,developed through global collaboration of over 15 organizations led by CGIAR
TerminAg,uses,data standardization,extracted,controlled vocabulary used to standardize CGIAR legacy datasets
Open Data Kit,uses,TerminAg,extracted,Excel-based ODK form template mapped to TerminAg variables
community seed schemes,located_in,Nigeria,extracted,survey data from 380 CSS in Kano state in northern Nigeria
dna fingerprinting,addresses,varietal identification,extracted,complementary method for varietal identification and adoption measurement
feed pellet production,targets,smallholder farmer,extracted,developed for small-scale fish and poultry farmers in Africa
IWMI,collaborates_with,WorldFish,extracted,IWMI and WorldFish developed innovative solution
diet quality assessment,uses,Global Diet Quality Score,extracted,calculated the Global Diet Quality Score with higher scores indicating healthier diet
food environment intervention,located_in,Tanzania,extracted,FRESH end-to-end approach in Northern Tanzania
conflict-affected settings,located_in,Ethiopia,extracted,seminar on rebuilding trust in local governance in conflict-affected settings in Ethiopia
financial innovation,targets,smallholder farmer,extracted,understanding financial challenges that smallholder farmers face
IFPRI,collaborates_with,CGIAR,extracted,researchers CGIAR and National Institute of Nutrition shared findings
CIAT,produces,Urochloa,extracted,Global estimated CIAT Urochloa hybrid adoption
silvopastoral systems,produces,carbon sequestration,extracted,"Carbon storage and sequestration is an ecosystem service in livestock systems with cultivated forages, rangelands, and agro-silvopastoral systems"
ecosystem services valuation,uses,contingent valuation,extracted,we assess the stakeholders' level of knowledge and perception of the topic by using contingent valuation methods
sustainable livestock practices,located_in,Honduras,extracted,analysed 450 producers across four municipalities in Olancho
Heifer International,uses,sustainable livestock practices,extracted,sustainable livestock practices promoted by Heifer International through Field Schools
livestock producers,uses,sustainable livestock practices,extracted,understand the adoption dynamics of sustainable livestock practices
Southeast Asia,addresses,postharvest loss reduction,inferred,Southeast Asia faces a significant and growing ruminant feed deficit
gender action learning system,addresses,conservation agriculture,extracted,"sustainable climate-smart farming practices, such as Conservation Agriculture (CA)"
gender action learning system,targets,smallholder farmers,extracted,leave smallholder farmers vulnerable to low yields and food insecurity
WorldFish,collaborates_with,IWMI,extracted,WorldFish and the International Water Management Institute (IWMI) partnered
multistakeholder platforms,located_in,Cambodia,extracted,pilot District Technical Working Groups (DTWGs) in two districts
Urochloa humidicola,located_in,Orinoquía,extracted,gestión estratégica de Urochloa humidicola en la región de la Orinoquía
rotational grazing,uses,carrying capacity,extracted,modelo de cálculo de capacidad de carga basado en la altura y la cobertura del pasto
water-energy-food-ecosystem nexus,addresses,food systems transformation,extracted,help transform agrifood systems and enhance regional cooperation
agricultural water insecurity,targets,smallholder farmers,extracted,women's experiences of water insecurity in relation to agrifood systems
Northwestern University,collaborates_with,Bangladesh,extracted,Co-designed with Northwestern University and in a participatory manner with local communities in southern coastal Bangladesh
transformative adaptation,located_in,Morocco,extracted,three transformative adaptation options (TAOs) in Morocco
polycentric governance,addresses,transformative adaptation,extracted,how multiscale polycentric governance (MPG) can enhance the rural welfare impacts of three transformative adaptation options
drought monitoring,located_in,Limpopo River Basin,extracted,analyzes drought conditions in the LRB using Earth Observation (EO) datasets
OlmoEarth,uses,crop type mapping,extracted,AI foundation model developed by the Allen Institute for AI to transform satellite and sensor data
IFPRI,uses,OlmoEarth,extracted,"IFPRI contributes to the OlmoEarth by creating an accurate, frequently updated crop maps"
food environment assessment,uses,XGBoost,extracted,The machine learning algorithm XGBoost was used to predict health risks
digital marketing regulation,targets,smallholder farmers,inferred,digital marketing of unhealthy foods and non-alcoholic beverages to children and adolescents
nutrition-sensitive interventions,located_in,Nigeria,extracted,"low-income urban adults in Hanoi, Vietnam (n = 582), and Ibadan, Nigeria (n = 626)"
nutrition-sensitive interventions,located_in,Vietnam,extracted,"low-income urban adults in Hanoi, Vietnam"
food environment assessment,located_in,Ethiopia,extracted,linked household–enterprise surveys collected in two districts in Ethiopia in 2023
postharvest loss reduction,uses,tomato,extracted,"adoption of postharvest packaging technologies (PHPTs), focusing on reusable plastic crates (RPCs) for tomato harvesting"
alternative flour blending,produces,nutritional enhancement,extracted,tortilla chips made from alternative flours derived from local ingredients showed enhanced nutritional composition
chia,produces,nutritional enhancement,extracted,chia flour was notable for its lipid (32.25 g/100 g) and fiber (38.51 g/100 g) content
sensory evaluation,uses,Honduras,extracted,"Sensory evaluations, conducted with 300 consumers in Honduras"
